Neuron,name,skid,cell_type
1600759," ""JO-EV_5""",1600758,JON
1600764," ""JO-EDP_3""",1600763,JON
3129137," ""JO-EDM_6""",3129136,JON
3186707," ""JO-EDM_14""",3186706,JON
3187481," ""JO-EDM_2""",3187480,JON
6785924," ""JO-EVP_6""",6785923,JON
7113889," ""JO-EDP_5""",7113888,JON
7695373," ""JO-EVL_2""",7695372,JON
7730499," ""JO-EVL_8""",7730498,JON
10739685," ""JO-EVM_9""",10739684,JON
10796352," ""JO-EDM_3""",10796351,JON
10823520," ""JO-EDM_13""",10823519,JON
10837308," ""JO-EV_1""",10837307,JON
10849281," ""JO-EVM_5""",10849280,JON
10852197," ""JO-EVM_14""",10852196,JON
10944610," ""JO-EDP_6""",10944609,JON
10957800," ""JO-EDC_3""",10957799,JON
10961175," ""JO-EDM_12""",10961174,JON
10972425," ""JO-EVL_1""",10972424,JON
10973700," ""JO-EVL_4""",10973699,JON
10974898," ""JO-EVL_9""",10974897,JON
10989674," ""JO-EDP_2""",10989673,JON
11007959," ""JO-EDC_5""",11007958,JON
11078671," ""JO-EVP_4""",11078670,JON
11093202," ""JO-EVL_7""",11093201,JON
11232809," ""JO-EV_6""",11232808,JON
11233738," ""JO-EVM_6""",11233737,JON
11271261," ""JO-EVM_8""",11271260,JON
11293001," ""JO-EDC_4""",11293000,JON
11293395," ""JO-EVM_7""",11293394,JON
13247850," ""JO-EVM_12""",13247849,JON
13248575," ""JO-EDM_8""",13248574,JON
13249212," ""JO-EVM_13""",13249211,JON
13249547," ""JO-EDM_9""",13249546,JON
13250381," ""JO-EVL_5""",13250380,JON
13250418," ""JO-EVL_6""",13250417,JON
13251041," ""JO-EDM_10""",13251040,JON
13251107," ""JO-EVP_5""",13251106,JON
13251351," ""JO-EVM_15""",13251350,JON
13251514," ""JO-EDM_11""",13251513,JON
13255698," ""JO-EDM_15""",13255697,JON
13587126," ""JO-EVP_2""",13587125,JON
1614935," ""neuron 1614935 HK""",1614934,JON
3095993," ""neuron 3095993 HK JO-B(G.5)""",3095992,JON
3115732," ""JO-DA_4""",3115731,JON
3149052," ""neuron 3149052 HK JO-B(G)""",3149051,JON
3187713," ""neuron 3187713 HK JO-B(G)""",3187712,JON
3353940," ""neuron 3353940 HK JO-A""",3353939,JON
3379263," ""neuron 3379263 HK JO-A""",3379262,JON
3402381," ""neuron 3402381 HK JO-B(G.1)""",3402380,JON
3403101," ""neuron 3403101 HK JO-B(G.5)""",3403100,JON
3410762," ""neuron 3410762 HK JO-B(G.5)""",3410761,JON
3449993," ""neuron 3449993 HK JO-A""",3449992,JON
3458431," ""neuron 3458431 HK JO-A""",3458430,JON
3458577," ""neuron 3458577 HK JO-B(G.5)""",3458576,JON
3458821," ""neuron 3458821 HK JO-A""",3458820,JON
3459186," ""neuron 3459186 HK JO-A""",3459185,JON
3477377," ""neuron 3477377 HK JO-A""",3477376,JON
3477674," ""neuron 3477674 HK JO-B(G.5)""",3477673,JON
3490055," ""neuron 3490055 HK JO-A""",3490054,JON
3504257," ""neuron 3504257 HK JO-A""",3504256,JON
3506479," ""neuron 3506479 HK JO-A""",3506478,JON
3515964," ""neuron 3515964 HK JO-A""",3515963,JON
