 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2
1,433,497.739,431,580,871,481.335,428,553
2,433,494.628,435,565,871,479.637,428,547
3,433,501.630,450,570,871,481.652,438,556
4,433,498.051,417,575,871,480.657,434,543
5,433,497.349,447,573,871,479.555,427,536
6,433,498.132,445,569,871,480.161,431,557
7,433,501.009,443,580,871,481.606,427,543
8,433,499.935,445,585,871,482.372,431,546
9,433,494.217,440,583,871,478.680,430,536
10,433,500.162,443,582,871,480.770,426,540
11,433,497.409,438,563,871,479.617,436,550
12,433,500.404,448,574,871,482.481,438,558
13,433,498.524,446,577,871,481.171,435,534
14,433,498.353,443,595,871,481.782,421,548
15,433,498.476,442,589,871,481.503,434,560
16,433,498.132,445,567,871,480.173,426,582
17,433,496.607,444,584,871,478.706,430,556
18,433,499.443,433,560,871,480.240,432,569
19,433,499.446,447,572,871,481.383,425,544
20,433,496.023,435,573,871,480.284,433,548
21,433,497.580,445,589,871,479.812,430,544
22,433,495.199,438,559,871,479.667,409,548
23,433,499.088,450,573,871,480.606,427,548
24,433,498.603,436,568,871,480.679,437,545
25,433,499.587,436,578,871,480.876,433,557
26,433,499.088,445,576,871,481.403,431,552
27,433,500.076,446,581,871,480.142,425,540
28,433,497.866,440,577,871,481.597,432,550
29,433,496.654,444,563,871,478.826,428,554
30,433,498.718,439,565,871,479.794,431,558
31,433,497.868,443,610,871,480.828,436,560
32,433,499.693,442,581,871,480.532,433,562
33,433,497.788,440,555,871,481.164,432,550
34,433,497.478,436,579,871,478.673,433,559
35,433,497.240,425,582,871,480.278,433,544
36,433,496.905,444,564,871,480.634,423,550
37,433,495.067,447,567,871,479.557,430,555
38,433,500.016,442,579,871,482.020,428,575
39,433,501.928,449,586,871,481.850,421,550
40,433,497.850,441,563,871,480.342,430,537
41,433,499.716,444,584,871,480.247,433,550
42,433,498.711,443,572,871,482.150,437,551
43,433,498.023,441,569,871,480.281,428,545
44,433,498.097,445,571,871,480.882,433,557
45,433,498.039,440,585,871,480.131,436,547
46,433,497.016,431,599,871,479.642,435,541
47,433,497.783,447,577,871,480.297,419,537
48,433,498.215,436,597,871,480.000,431,563
49,433,496.439,446,587,871,479.302,429,549
50,433,496.423,435,584,871,479.423,433,550
51,433,497.614,433,577,871,480.495,422,551
52,433,497.060,439,571,871,480.406,434,569
53,433,496.249,445,562,871,478.468,423,563
54,433,499.365,444,590,871,480.784,425,543
55,433,495.630,449,574,871,480.504,426,542
56,433,498.434,436,571,871,479.189,430,538
57,433,493.896,437,564,871,478.144,430,538
58,433,496.252,440,555,871,481.119,424,539
59,433,495.196,443,559,871,478.856,434,544
60,433,499.492,446,564,871,479.819,429,555
61,433,494.984,444,578,871,477.643,432,548
62,433,493.972,440,582,871,479.140,433,547
63,433,498.240,444,556,871,481.565,430,570
64,433,498.395,439,563,871,481.493,434,550
65,433,494.727,441,575,871,479.575,433,541
66,433,496.797,442,581,871,480.317,423,544
67,433,496.173,436,584,871,478.958,422,541
68,433,498.460,445,567,871,480.985,434,547
69,433,497.226,439,576,871,480.693,430,559
70,433,497.189,437,585,871,478.577,402,551
71,433,495.109,437,561,871,479.769,434,540
72,433,499.427,440,569,871,481.187,426,544
73,433,495.956,430,558,871,478.968,430,547
74,433,494.273,442,566,871,478.349,434,568
75,433,496.924,449,571,871,479.262,432,542
76,433,499.005,433,581,871,480.617,422,579
