 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2
1,426,497.854,449,561,982,487.469,429,555
2,426,498.897,442,568,982,486.580,436,563
3,426,496.000,445,555,982,486.499,437,552
4,426,497.554,443,558,982,486.120,425,545
5,426,497.784,441,553,982,485.556,434,562
6,426,498.275,416,549,982,485.803,423,548
7,426,500.237,451,553,982,486.985,433,555
8,426,499.981,456,562,982,488.162,436,551
9,426,498.845,442,554,982,485.826,439,613
10,426,497.596,445,555,982,486.219,443,565
11,426,500.127,452,562,982,486.209,435,559
12,426,498.763,449,554,982,486.613,432,550
13,426,498.174,444,556,982,486.526,437,552
14,426,499.958,440,559,982,487.294,431,558
15,426,498.411,444,555,982,486.871,441,557
16,426,500.153,443,568,982,487.377,437,552
17,426,499.138,450,553,982,486.212,437,550
18,426,498.678,448,559,982,488.531,430,575
19,426,498.383,441,550,982,486.723,435,557
20,426,498.399,450,553,982,487.268,435,557
21,426,498.918,445,586,982,487.638,432,555
22,426,499.941,450,559,982,487.378,442,539
23,426,500.397,443,581,982,487.932,438,566
24,426,499.493,447,548,982,487.422,436,569
25,426,499.397,451,555,982,486.797,440,545
26,426,499.124,450,564,982,488.024,444,569
27,426,500.002,459,594,982,487.755,447,554
28,426,497.974,452,571,982,486.570,422,550
29,426,498.859,446,551,982,486.299,437,571
30,426,497.725,450,554,982,486.303,410,564
31,426,498.573,454,564,982,487.751,436,552
32,426,497.822,441,560,982,486.743,435,543
33,426,497.716,445,548,982,486.960,432,545
34,426,499.437,451,559,982,487.047,431,558
35,426,499.829,443,560,982,487.702,436,572
36,426,500.000,455,578,982,486.126,440,563
37,426,500.059,458,558,982,487.160,436,543
38,426,500.103,458,562,982,486.630,438,554
39,426,499.777,454,560,982,487.365,435,546
40,426,499.913,448,549,982,487.735,437,548
41,426,500.751,439,556,982,487.722,436,557
42,426,499.364,450,559,982,487.148,432,555
43,426,499.354,452,558,982,487.000,439,567
44,426,500.211,451,559,982,487.752,441,559
45,426,499.542,456,560,982,487.005,441,554
46,426,500.171,444,559,982,487.615,432,566
47,426,499.657,442,554,982,486.719,437,553
48,426,499.340,452,561,982,486.351,431,552
49,426,501.317,454,559,982,488.080,436,546
50,426,500.117,455,556,982,487.659,432,542
51,426,501.042,454,561,982,488.929,434,566
52,426,499.669,449,553,982,488.623,440,546
53,426,500.089,456,548,982,488.860,431,559
54,426,500.664,449,561,982,487.768,427,545
55,426,500.704,454,563,982,488.439,429,556
56,426,498.296,454,573,982,488.254,445,566
57,426,501.488,451,552,982,486.893,441,563
58,426,500.613,454,569,982,488.438,445,562
59,426,499.258,447,553,982,486.257,430,543
60,426,500.397,447,569,982,487.366,423,558
61,426,501.441,441,559,982,487.967,436,560
62,426,499.087,436,560,982,486.676,424,544
63,426,498.338,455,563,982,486.449,435,541
64,426,500.284,451,553,982,488.791,439,571
65,426,500.256,456,565,982,488.092,427,551
66,426,500.547,439,573,982,487.331,431,553
67,426,500.225,439,569,982,487.568,437,540
68,426,497.502,446,559,982,488.175,430,552
69,426,499.901,450,562,982,488.071,437,558
70,426,500.669,453,584,982,488.506,434,558
71,426,501.570,454,574,982,487.978,442,555
72,426,499.657,443,558,982,487.655,434,551
73,426,500.502,456,557,982,488.149,438,550
74,426,501.394,454,580,982,488.837,441,562
75,426,500.157,447,557,982,489.214,438,564
76,426,502.662,448,565,982,489.951,429,548
77,426,500.019,454,574,982,488.620,433,573
78,426,500.859,455,555,982,488.556,440,557
79,426,500.183,453,557,982,489.649,443,556
80,426,499.523,460,558,982,487.827,426,563
81,426,499.289,449,547,982,488.091,436,570
82,426,499.249,451,556,982,487.271,435,586
83,426,502.096,456,564,982,487.668,434,561
84,426,500.704,450,557,982,489.031,440,556
85,426,499.948,449,592,982,488.549,436,544
86,426,504.026,441,557,982,487.856,426,573
87,426,498.650,443,557,982,487.597,437,581
88,426,500.627,456,574,982,488.519,431,575
89,426,501.110,449,552,982,487.244,426,554
90,426,503.308,450,576,982,487.473,432,557
91,426,501.519,445,556,982,487.712,422,552
92,426,501.275,442,550,982,488.656,435,556
93,426,501.869,453,563,982,488.133,435,558
94,426,499.603,450,571,982,487.883,427,543
95,426,502.019,450,565,982,487.800,435,561
96,426,500.880,442,564,982,488.468,432,556
97,426,501.751,459,557,982,488.863,444,553
98,426,503.272,452,561,982,488.402,437,556
99,426,501.777,441,578,982,487.607,440,555
100,426,501.664,438,565,982,487.898,429,544
101,426,501.984,446,562,982,486.482,433,554
102,426,499.300,450,558,982,486.644,433,549
103,426,500.352,447,588,982,487.775,437,563
104,426,501.141,444,558,982,486.796,437,553
105,426,502.516,446,558,982,487.487,433,576
