 ,Area1,Mean1,Min1,Max1,Area2,Mean2,Min2,Max2
1,484,502.514,448,584,1006,491.071,434,553
2,484,501.946,442,574,1006,491.740,445,552
3,484,502.932,433,573,1006,491.585,435,558
4,484,503.448,441,575,1006,490.701,435,564
5,484,503.926,437,600,1006,491.307,426,571
6,484,502.738,449,597,1006,492.102,436,579
7,484,502.174,446,565,1006,490.908,438,563
8,484,503.337,437,577,1006,492.888,438,557
9,484,502.312,457,607,1006,491.506,440,571
10,484,502.116,434,579,1006,490.898,423,551
11,484,504.043,440,590,1006,492.204,436,566
12,484,503.440,451,577,1006,492.975,435,562
13,484,501.070,444,581,1006,492.891,430,566
14,484,502.045,437,583,1006,490.415,431,555
15,484,502.155,449,584,1006,491.682,439,564
16,484,500.700,443,572,1006,490.492,441,583
17,484,501.932,444,569,1006,492.177,430,570
18,484,502.174,452,590,1006,491.996,433,565
19,484,501.465,438,585,1006,491.398,438,561
20,484,502.680,449,575,1006,491.875,435,571
21,484,503.682,458,584,1006,491.212,435,561
22,484,502.847,453,586,1006,491.625,437,563
23,484,502.037,428,578,1006,491.940,438,580
24,484,503.692,452,588,1006,491.246,435,559
25,484,500.686,450,595,1006,491.185,433,553
26,484,502.688,444,573,1006,491.982,436,556
27,484,503.676,446,589,1006,491.227,441,558
28,484,503.424,454,577,1006,492.005,443,548
29,484,502.678,441,589,1006,491.906,440,550
30,484,500.849,434,573,1006,490.666,441,549
31,484,501.971,448,565,1006,490.201,436,552
32,484,502.417,447,572,1006,491.837,435,556
33,484,503.771,447,589,1006,492.167,443,552
34,484,503.273,443,581,1006,492.222,440,575
35,484,501.159,447,568,1006,490.999,437,567
36,484,503.723,430,598,1006,490.207,439,564
37,484,501.647,452,575,1006,491.980,421,570
38,484,500.508,451,568,1006,490.488,441,554
39,484,501.446,440,565,1006,490.708,432,555
40,484,502.525,451,582,1006,492.050,443,563
41,484,503.744,449,578,1006,492.243,422,563
42,484,502.471,449,601,1006,491.794,442,568
43,484,503.599,447,579,1006,491.415,437,572
44,484,502.157,447,571,1006,492.347,433,548
45,484,502.211,448,577,1006,491.618,434,572
46,484,503.240,446,585,1006,491.502,429,560
47,484,501.907,447,573,1006,491.356,440,569
48,484,501.990,454,589,1006,491.976,431,564
49,484,501.921,450,581,1006,491.799,443,562
50,484,503.285,447,590,1006,490.825,419,559
51,484,502.508,436,580,1006,491.955,440,545
52,484,502.595,433,599,1006,491.040,429,559
53,484,501.359,437,574,1006,491.500,434,552
54,484,503.300,444,572,1006,491.307,438,563
55,484,502.457,444,579,1006,490.919,438,557
56,484,501.682,446,571,1006,491.673,442,575
57,484,502.217,443,617,1006,492.634,438,572
58,484,501.399,454,575,1006,490.504,413,566
59,484,500.983,454,562,1006,490.349,431,557
60,484,502.310,450,582,1006,491.530,431,555
61,484,502.223,442,577,1006,491.621,436,552
62,484,501.775,439,586,1006,491.000,440,554
63,484,503.149,453,588,1006,491.699,429,559
64,484,501.116,446,570,1006,490.292,432,557
65,484,503.225,444,575,1006,490.707,437,560
66,484,502.217,440,592,1006,489.809,437,571
67,484,502.808,445,582,1006,490.915,439,568
68,484,503.944,435,575,1006,491.739,440,567
69,484,502.862,442,574,1006,491.085,435,557
70,484,502.481,441,585,1006,491.553,439,560
71,484,501.099,444,565,1006,491.199,441,563
72,484,502.248,446,581,1006,490.773,434,583
73,484,503.893,447,575,1006,492.428,441,562
74,484,502.665,452,587,1006,491.489,443,567
75,484,502.541,443,588,1006,491.550,436,549
76,484,502.829,441,586,1006,490.430,441,564
77,484,503.198,439,583,1006,491.397,441,559
78,484,502.341,451,623,1006,491.693,432,561
79,484,500.977,441,571,1006,491.659,441,549
80,484,501.950,448,574,1006,490.925,439,557
81,484,503.643,445,579,1006,491.535,434,557
82,484,502.872,441,587,1006,491.095,441,560
83,484,503.512,441,584,1006,491.000,436,558
84,484,502.264,451,583,1006,492.161,435,550
85,484,502.155,447,582,1006,490.704,438,575
86,484,501.979,455,592,1006,490.911,435,570
87,484,501.000,448,568,1006,491.139,429,564
88,484,502.112,422,576,1006,491.598,442,583
89,484,503.058,448,584,1006,491.789,423,574
90,484,500.971,449,572,1006,491.880,438,554
91,484,501.876,455,573,1006,490.513,430,551
92,484,500.329,438,582,1006,491.291,440,557
93,484,502.211,450,570,1006,490.381,434,554
94,484,501.391,451,594,1006,491.484,436,556
95,484,502.188,437,573,1006,491.467,436,557
96,484,499.275,451,568,1006,489.944,435,552
97,484,501.302,435,570,1006,492.141,429,572
98,484,501.031,449,566,1006,490.463,400,571
99,484,501.688,453,577,1006,489.433,428,553
100,484,502.752,452,602,1006,491.793,442,573
101,484,503.048,425,579,1006,492.803,430,561
102,484,502.043,443,581,1006,491.049,437,574
103,484,501.585,445,565,1006,490.915,430,557
